store_id,daily_sales,date_recorded,store_location_Chennai,store_location_Delhi,store_location_Kolkata,store_location_Mumbai
107,82290.0,2026-01-01,False,False,False,True
104,87128.0,2026-01-02,False,True,False,False
108,41932.0,2026-01-03,False,False,False,False
105,88020.0,2026-01-04,True,False,False,False
107,41766.0,2026-01-05,False,True,False,False
103,52711.0,2026-01-06,False,False,False,True
107,43292.0,2026-01-07,False,True,False,False
108,50687.0,2026-01-08,False,False,True,False
105,77631.0,2026-01-09,False,True,False,False
104,55899.0,2026-01-10,True,False,False,False
108,80154.0,2026-01-11,False,False,False,True
108,37408.0,2026-01-12,False,False,True,False
103,59431.0,2026-01-13,False,False,False,True
106,70910.0,2026-01-14,False,True,False,False
105,64533.0,2026-01-15,False,False,False,True
102,45237.0,2026-01-16,False,False,True,False
108,88897.0,2026-01-17,False,False,False,True
106,35778.0,2026-01-18,False,False,False,True
102,65059.0,2026-01-19,False,False,True,False
105,86882.0,2026-01-20,False,False,False,True
101,56561.0,2026-01-21,False,False,False,False
106,34866.0,2026-01-22,False,False,False,True
109,38429.0,2026-01-23,False,False,False,True
101,73352.0,2026-01-24,False,True,False,False
103,74515.0,2026-01-25,False,False,True,False
107,52837.0,2026-01-26,False,False,True,False
104,80736.0,2026-01-27,False,False,True,False
109,64075.0,2026-01-28,False,True,False,False
103,64853.0,2026-01-29,False,False,False,False
105,56395.0,2026-01-30,False,False,False,True
103,46415.0,2026-01-31,False,False,False,True
107,61986.0,2026-02-01,False,False,True,False
105,54104.0,2026-02-02,False,True,False,False
109,30291.0,2026-02-03,True,False,False,False
107,33686.0,2026-02-04,True,False,False,False
102,75347.0,2026-02-05,False,False,False,True
104,31642.0,2026-02-06,False,False,True,False
109,61477.0,2026-02-07,False,False,True,False
102,54150.0,2026-02-08,False,False,False,False
109,38769.0,2026-02-09,False,True,False,False
105,59833.0,2026-02-10,False,False,False,False
102,33909.0,2026-02-11,False,False,False,False
104,80375.0,2026-02-12,True,False,False,False
107,62078.0,2026-02-13,True,False,False,False
108,42268.0,2026-02-14,False,False,False,True
103,59431.0,2026-02-15,False,False,False,True
101,38638.0,2026-02-16,False,True,False,False
104,67141.0,2026-02-17,True,False,False,False
102,41233.0,2026-02-18,True,False,False,False
108,81731.0,2026-02-19,True,False,False,False
104,60496.0,2026-02-20,False,False,False,True
102,47806.0,2026-02-21,False,False,False,True
106,70326.0,2026-02-22,False,False,True,False
106,43271.0,2026-02-23,False,False,True,False
104,69513.0,2026-02-24,False,False,False,False
106,81761.0,2026-02-25,True,False,False,False
102,49465.0,2026-02-26,False,False,False,True
102,69502.0,2026-02-27,True,False,False,False
104,43860.0,2026-02-28,False,False,True,False
108,38250.0,2026-03-01,True,False,False,False
107,71418.0,2026-03-02,False,False,False,False
109,79255.0,2026-03-03,False,False,False,False
108,51310.0,2026-03-04,True,False,False,False
105,88132.0,2026-03-05,True,False,False,False
102,79893.0,2026-03-06,False,False,False,False
105,57982.0,2026-03-07,True,False,False,False
108,62206.0,2026-03-08,False,True,False,False
109,39764.0,2026-03-09,False,False,False,True
109,85596.0,2026-03-10,False,False,True,False
101,73661.0,2026-03-11,False,False,False,True
109,42842.0,2026-03-12,False,False,False,False
107,67491.0,2026-03-13,False,True,False,False
109,74372.0,2026-03-14,False,True,False,False
108,54043.0,2026-03-15,False,False,False,True
101,67971.0,2026-03-16,True,False,False,False
108,32976.0,2026-03-17,False,False,True,False
108,37426.0,2026-03-18,False,False,False,False
103,52887.0,2026-03-19,False,False,False,False
101,56710.0,2026-03-20,False,False,False,False
108,71387.0,2026-03-21,False,True,False,False
103,77470.0,2026-03-22,False,True,False,False
103,36486.0,2026-03-23,False,False,True,False
101,69258.0,2026-03-24,False,False,False,True
105,76882.0,2026-03-25,False,False,False,False
107,81096.0,2026-03-26,True,False,False,False
109,52623.0,2026-03-27,False,False,False,True
107,53806.0,2026-03-28,False,True,False,False
109,35973.0,2026-03-29,False,False,True,False
108,59431.0,2026-03-30,True,False,False,False
102,88615.0,2026-03-31,False,False,False,False
101,78626.0,2026-04-01,False,False,False,True
107,75939.0,2026-04-02,True,False,False,False
